title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,N/A,"$4,611,900",Warner Bros.,"September 21, 2007",Western,2 hrs. 40 min.,R,$30 million,"$15,001,776",Brad Pitt,Casey Affleck,Sam Rockwell,Zooey Deschanel,Jeremy Renner,N/A,Dede Gardner,Brad Grey,Brad Pitt,Ridley Scott,Tony Scott,David Valdes,Andrew Dominik,N/A,Nick Cave,Warren Ellis
The Assassination of Richard Nixon,N/A,N/A,"$898,600",ThinkFilm,"December 29, 2004",Drama,1 hrs. 35 min.,R,N/A,"$4,407,814",Sean Penn,Naomi Watts,Don Cheadle,N/A,N/A,N/A,Leonardo DiCaprio,Alexander Payne,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Assassination Tango,Robert Duvall,N/A,"$1,364,500",United Artists,"March 28, 2003",Drama / Thriller,1 hrs. 54 min.,R,N/A,N/A,Robert Duvall,N/A,N/A,N/A,N/A,N/A,Robert Duvall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Assassins,Richard Donner,N/A,"$56,565,700",Warner Bros.,"October 6, 1995",Action,2 hrs. 13 min.,R,$50 million,N/A,Sylvester Stallone,Antonio Banderas,Julianne Moore,N/A,N/A,N/A,Lauren Schuler Donner,Bruce A. Evans,Raynold Gideon,Andrew Lazar,Joel Silver,Jim Van Wyck,Brian Helgeland,Andy &amp; Lana Wachowski,Mark Mancina,N/A
The Assault,N/A,N/A,"$1,064,100",Cannon Films,"September 19, 1986",Foreign,2 hrs. 24 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Assault on Precinct 13,N/A,N/A,"$25,387,200",Rogue Pictures,"January 19, 2005",Action Thriller,1 hrs. 49 min.,R,$30 million,"$35,294,470",Ethan Hawke,Laurence Fishburne,Maria Bello,John Leguizamo,N/A,N/A,Don Carmody,Jeffrey Silver,N/A,N/A,N/A,N/A,James DeMonaco,N/A,Graeme Revell,N/A
Assaulted:<br/>Civil Rights Under Fire,N/A,N/A,"$6,700",High Top Releasing,"June 20, 2013",Documentary,1 hrs. 29 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Assignment,N/A,N/A,"$588,400",Sony / Columbia,"September 26, 1997",Action Thriller,1 hrs. 59 min.,R,N/A,N/A,Ben Kingsley,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Assisted Living,N/A,N/A,"$62,100",Economic Projections,"February 2, 2005",Comedy,1 hrs. 17 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Associate,N/A,N/A,"$23,595,900",Buena Vista,"October 25, 1996",Comedy,1 hrs. 54 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ted Field,Scott Kroopf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
