title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
The Harmonists,N/A,N/A,"$391,400",Miramax,"March 12, 1999",Unknown,1 hrs. 55 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Harald Kloser,N/A
Harmony and Me,N/A,N/A,"$21,500",Unknown,"September 18, 2009",Comedy,1 hrs. 15 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harold,N/A,N/A,"$15,000",City Lights Pictures Releasing,"July 11, 2008",Comedy,1 hrs. 30 min.,PG-13,N/A,N/A,Nikki Blonsky,"Cuba Gooding, Jr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harold and Kumar Escape from Guantanamo Bay,Jon Hurwitz,Hayden Schlossberg,"$43,097,900",Warner Bros. (New Line),"April 25, 2008",Comedy,1 hrs. 42 min.,R,$12 million,"$43,493,123",Kal Penn,Neil Patrick Harris,Ed Helms*,N/A,N/A,N/A,Greg Shapiro,N/A,N/A,N/A,N/A,N/A,Jon Hurwitz,Hayden Schlossberg,N/A,N/A
Harold and Kumar Go to White Castle,N/A,N/A,"$23,863,800",New Line,"July 30, 2004",Comedy,1 hrs. 28 min.,R,$9 million,"$23,936,908",Kal Penn,Neil Patrick Harris,Ryan Reynolds*,N/A,N/A,N/A,Greg Shapiro,James D. Stern,N/A,N/A,N/A,N/A,Jon Hurwitz,Hayden Schlossberg,David Kitay,N/A
Harriet the Spy,N/A,N/A,"$48,811,900",Paramount,"July 12, 1996",Family Adventure,1 hrs. 36 min.,PG,$12 million,N/A,Michelle Trachtenberg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harrison's Flowers,N/A,N/A,"$2,614,900",Universal,"March 15, 2002",War Drama,2 hrs. 1 min.,R,N/A,"$3,033,646",Brendan Gleeson,Adrien Brody,Gerard Butler,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cliff Eidelman,N/A
Harry and Max,N/A,N/A,"$19,300",TLA Releasing,"February 18, 2005",Drama,1 hrs. 15 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harry and Son,N/A,N/A,"$11,757,000",Orion Pictures,"March 2, 1984",Unknown,1 hrs. 57 min.,PG,N/A,N/A,Morgan Freeman*,Paul Newman,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harry and the Hendersons,N/A,N/A,"$61,804,600",Universal,"June 5, 1987",Family Comedy,1 hrs. 51 min.,PG,N/A,"$49,998,613",N/A,N/A,N/A,N/A,N/A,N/A,Richard Vane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Randy Newman*,N/A
Harry Brown,N/A,N/A,"$1,857,600",Samuel Goldwyn,"April 30, 2010",Crime Thriller,1 hrs. 43 min.,R,$7.3 million,"$10,329,747",Michael Caine,Jack O'Connell,N/A,N/A,N/A,N/A,Matthew Vaughn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harry Dean Stanton:<br/>Partly Fiction,N/A,N/A,"$24,200",Adopt Films,"September 13, 2013",Documentary,1 hrs. 17 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harry Potter and the Chamber of Secrets,Chris Columbus,N/A,"$364,716,900",Warner Bros.,"November 15, 2002",Fantasy,2 hrs. 41 min.,PG,$100 million,"$878,979,634",Daniel Radcliffe,Rupert Grint,Emma Watson,Kenneth Branagh,Alan Rickman*,N/A,Chris Columbus,David Heyman,N/A,N/A,N/A,N/A,Steve Kloves,N/A,William Ross*,John Williams
Harry Potter and the Deathly Hallows Part 1,David Yates,N/A,"$300,352,200",Warner Bros.,"November 19, 2010",Fantasy,2 hrs. 30 min.,PG-13,N/A,"$960,283,305",Daniel Radcliffe,Rupert Grint,Emma Watson,Helena Bonham Carter,Ralph Fiennes,Alan Rickman*,N/A,N/A,N/A,N/A,N/A,N/A,Steve Kloves,N/A,Alexandre Desplat,N/A
Harry Potter and the Deathly Hallows Part 2,David Yates,N/A,"$389,678,000",Warner Bros.,"July 15, 2011",Fantasy,2 hrs. 10 min.,PG-13,N/A,"$1,341,511,219",Daniel Radcliffe,Rupert Grint,Emma Watson,Helena Bonham Carter,Ralph Fiennes,Alan Rickman,David Heyman,N/A,N/A,N/A,N/A,N/A,Steve Kloves,N/A,Alexandre Desplat,N/A
Harry Potter and the Goblet of Fire,Mike Newell,N/A,"$366,823,200",Warner Bros.,"November 18, 2005",Fantasy,2 hrs. 33 min.,PG-13,$150 million,"$896,911,078",Daniel Radcliffe,Emma Watson,Rupert Grint,Ralph Fiennes,Brendan Gleeson,Robert Pattinson,David Heyman,N/A,N/A,N/A,N/A,N/A,Steve Kloves,N/A,Patrick Doyle,John Williams*
Harry Potter and the Half-Blood Prince,David Yates,N/A,"$328,625,500",Warner Bros.,"July 15, 2009",Fantasy,2 hrs. 33 min.,PG,$250 million,"$934,416,487",Daniel Radcliffe,Rupert Grint,Emma Watson,Jim Broadbent,Helena Bonham Carter,Alan Rickman,David Heyman,N/A,N/A,N/A,N/A,N/A,Steve Kloves,N/A,N/A,N/A
Harry Potter and the Order of the Phoenix,David Yates,N/A,"$344,633,500",Warner Bros.,"July 11, 2007",Fantasy,2 hrs. 19 min.,PG-13,$150 million,"$939,885,929",Daniel Radcliffe,Rupert Grint,Emma Watson,Helena Bonham Carter*,Ralph Fiennes,Brendan Gleeson*,David Heyman,N/A,N/A,N/A,N/A,N/A,Michael Goldenberg,N/A,N/A,N/A
Harry Potter and the Prisoner of Azkaban,Alfonso Cuaron,N/A,"$326,292,000",Warner Bros.,"June 4, 2004",Fantasy,2 hrs. 22 min.,PG,$130 million,"$796,688,549",Daniel Radcliffe,Emma Watson,Rupert Grint,Alan Rickman*,Gary Oldman*,Emma Thompson*,Chris Columbus,David Heyman,N/A,N/A,N/A,N/A,Steve Kloves,N/A,John Williams,N/A
Harry Potter and the Sorcerer's Stone,Chris Columbus,N/A,"$454,013,400",Warner Bros.,"November 16, 2001",Fantasy,2 hrs. 33 min.,PG,$125 million,"$974,755,371",Daniel Radcliffe,Emma Watson,Rupert Grint,Alan Rickman*,N/A,N/A,Chris Columbus,David Heyman,N/A,N/A,N/A,N/A,Steve Kloves,N/A,John Williams,N/A
Harsh Times,David Ayer,N/A,"$4,138,000",MGM,"November 10, 2006",Crime,1 hrs. 55 min.,R,N/A,"$5,967,038",Christian Bale,N/A,N/A,N/A,N/A,N/A,David Ayer,Christian Bale,N/A,N/A,N/A,N/A,David Ayer,N/A,Graeme Revell,N/A
Hart's War,Gregory Hoblit,N/A,"$26,662,700",MGM,"February 15, 2002",War Drama,2 hrs. 5 min.,R,$70 million,"$32,287,044",Bruce Willis,Colin Farrell,Terrence Howard,Sam Worthington*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Billy Ray,N/A,Rachel Portman,N/A
Harvard Beats Yale 29-29,N/A,N/A,"$303,600",Kino,"November 19, 2008",Documentary,1 hrs. 45 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harvard Man,N/A,N/A,"$79,200",Cowboy,"May 17, 2002",Crime Comedy,1 hrs. 34 min.,R,N/A,N/A,Sarah Michelle Gellar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harvest,N/A,N/A,"$24,800","Monterey Media, Inc.","May 6, 2011",Drama,N/A,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harvest of Empire,N/A,N/A,"$78,500",Onyx Films,"September 28, 2012",Documentary,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Harvest/La Cosecha,N/A,N/A,"$3,800",Cinema Libre,"July 29, 2011",Documentary,1 hrs. 24 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hasee Toh Phasee,N/A,N/A,"$659,000",Reliance Big Pictures,"February 7, 2014",Foreign,2 hrs. 20 min.,Unrated,N/A,"$646,035",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haseena Mann Jaayegi,N/A,N/A,"$197,800",Eros,"June 25, 1999",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hat Trick,N/A,N/A,"$28,900",UTV Communications,"March 16, 2007",Foreign,1 hrs. 45 min.,Unrated,N/A,"$1,893,270",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hatchet,N/A,N/A,"$206,900",Anchor Bay Films,"September 7, 2007",Horror Comedy,1 hrs. 22 min.,R,N/A,"$208,550",Joel David Moore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hatchet 2,N/A,N/A,"$53,300",Vitagraph,"October 1, 2010",Horror,1 hrs. 36 min.,Unrated,N/A,"$52,604",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hate (La Haine),N/A,N/A,"$516,000",Gramercy,"February 9, 1996",Foreign,1 hrs. 36 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hate Crime,N/A,N/A,"$50,500",Pasidg Productions,"September 23, 2005",Drama,1 hrs. 44 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hateship Loveship,N/A,N/A,"$52,700",IFC,"April 11, 2014",Drama,1 hrs. 42 min.,R,N/A,"$54,030",Kristen Wiig,Guy Pearce,Hailee Steinfeld,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hating Breitbart,N/A,N/A,"$82,200",Rocky Mountain Pictures,"October 19, 2012",Documentary,1 hrs. 25 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hats Off,N/A,N/A,"$35,400",Abramorama,"March 28, 2008",Documentary,1 hrs. 24 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haunted Castle (IMAX),N/A,N/A,"$17,260,900",N Wave,"February 23, 2001",IMAX,0 hrs. 38 min.,PG,N/A,"$39,093,166",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haunted Honeymoon,N/A,N/A,"$17,582,500",Orion Pictures,"July 25, 1986",Unknown,1 hrs. 24 min.,PG,N/A,N/A,Jonathan Pryce,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Haunted House,Michael Tiddes,N/A,"$40,389,900",Open Road Films,"January 11, 2013",Comedy,1 hrs. 20 min.,R,$2.5 million,"$60,141,683",Marlon Wayans,Cedric the Entertainer,Nick Swardson,N/A,N/A,N/A,Rick Alvarez,Brian Kavanaugh-Jones,Marlon Wayans,N/A,N/A,N/A,Rick Alvarez,Marlon Wayans,N/A,N/A
A Haunted House 2,Michael Tiddes,N/A,"$16,892,600",Open Road Films,"April 18, 2014",Horror Comedy,1 hrs. 27 min.,R,$4 million,"$23,959,486",Marlon Wayans,Cedric the Entertainer,N/A,N/A,N/A,N/A,Rick Alvarez,N/A,N/A,N/A,N/A,N/A,Rick Alvarez,Marlon Wayans,N/A,N/A
The Haunted Mansion,Rob Minkoff,N/A,"$101,590,600",Buena Vista,"November 26, 2003",Family Adventure,1 hrs. 39 min.,PG,$90 million,"$182,290,266",Eddie Murphy,N/A,N/A,N/A,N/A,N/A,Don Hahn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mark Mancina,N/A
Haunted Summer,N/A,N/A,"$19,600",Cannon Films,"December 16, 1988",Unknown,1 hrs. 46 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Christopher Young,N/A
The Haunting,Jan DeBont,N/A,"$146,113,900",DreamWorks,"July 23, 1999",Horror,1 hrs. 53 min.,PG-13,$80 million,"$177,311,151",Liam Neeson,Catherine Zeta-Jones,Owen Wilson,Virginia Madsen*,N/A,N/A,Colin Wilson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jerry Goldsmith,N/A
The Haunting in Connecticut,N/A,N/A,"$62,641,100",Lionsgate,"March 27, 2009",Horror,1 hrs. 32 min.,PG-13,N/A,"$77,527,732",Virginia Madsen,Amanda Crew,N/A,N/A,N/A,N/A,Paul Brooks,Scott Niemeyer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Haunting of Molly Hartley,N/A,N/A,"$15,335,100",Freestyle Releasing,"October 31, 2008",Horror,1 hrs. 27 min.,PG-13,N/A,"$15,418,749",Chace Crawford,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Haunting of Morella,N/A,N/A,"$2,971,300",Concorde,"February 9, 1990",Unknown,1 hrs. 22 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haute Cuisine,N/A,N/A,"$213,300",Weinstein Company,"September 20, 2013",Foreign,1 hrs. 35 min.,PG-13,N/A,"$11,384,015",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hav Plenty,N/A,N/A,"$3,954,400",Miramax,"June 19, 1998",Romantic Comedy,1 hrs. 27 min.,R,N/A,N/A,Nia Long*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hava Nagila (The Movie),N/A,N/A,"$371,000",International Film Circuit,"March 1, 2013",Documentary,1 hrs. 13 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Havana,Sydney Pollack,N/A,"$17,779,600",Universal,"December 14, 1990",Romance,2 hrs. 25 min.,R,$40 million,N/A,Robert Redford,N/A,N/A,N/A,N/A,N/A,Sydney Pollack,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haven,N/A,N/A,"$176,600",Yari Film Group,"September 15, 2006",Crime Drama,1 hrs. 39 min.,R,N/A,"$197,312",Orlando Bloom,Zoe Saldana,Anthony Mackie,N/A,N/A,N/A,Bob Yari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Heitor Pereira,N/A
Havoc,N/A,N/A,N/A,MDP Worldwide,N/A,Unknown,1 hrs. 26 min.,R,$9 million,"$371,000",Anne Hathaway,Mike Vogel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cliff Martinez,N/A
Hawayein,N/A,N/A,"$552,100",Megastar,"August 15, 2003",Unknown,N/A,Unrated,N/A,"$409,978",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Hawk,N/A,N/A,"$17,500",Castle Hill,"December 10, 1993",Thriller,1 hrs. 28 min.,R,N/A,N/A,Helen Mirren,N/A,N/A,N/A,N/A,N/A,Eric Fellner,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Hawk Is Dying,N/A,N/A,"$8,300",Strand,"March 30, 2007",Drama,1 hrs. 52 min.,Unrated,N/A,"$15,285",Paul Giamatti,Michelle Williams,N/A,N/A,N/A,N/A,Ted Hope,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hayride 2,N/A,N/A,"$2,500",Freestyle Releasing,"March 6, 2015",Horror,1 hrs. 32 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haywire,Steven Soderbergh,N/A,"$19,420,800",Relativity,"January 20, 2012",Action,1 hrs. 33 min.,R,$23 million,"$33,372,606",Channing Tatum,Ewan McGregor,Michael Douglas,Antonio Banderas,Michael Fassbender,N/A,Gregory Jacobs,Ryan Kavanaugh,Tucker Tooley,N/A,N/A,N/A,Lem Dobbs,N/A,David Holmes,N/A
He Got Game,Spike Lee,N/A,"$37,341,400",Buena Vista,"May 1, 1998",Sports Drama,2 hrs. 16 min.,R,N/A,N/A,Denzel Washington,Milla Jovovich,Rosario Dawson,N/A,N/A,N/A,Jon Kilik,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
He Knows You're Alone,N/A,N/A,"$14,716,900",MGM,"August 29, 1980",Unknown,1 hrs. 34 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"He Loves Me, He Loves Me Not",N/A,N/A,"$1,361,600",IDP,"February 14, 2003",Foreign,1 hrs. 32 min.,Unrated,N/A,"$1,011,102",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"He Said, She Said",Ken Kwapis,N/A,"$18,910,900",Paramount,"February 22, 1991",Romantic Comedy,1 hrs. 55 min.,PG-13,N/A,N/A,Kevin Bacon,Sharon Stone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
He Was a Quiet Man,N/A,N/A,"$2,900",Mitropoulos Films,"November 30, 2007",Comedy / Drama,1 hrs. 35 min.,Unrated,N/A,"$83,440",William H. Macy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
He's Just Not That Into You,Ken Kwapis,N/A,"$106,254,000",Warner Bros. (New Line),"February 6, 2009",Romantic Comedy,2 hrs. 9 min.,PG-13,N/A,"$178,846,899",Ginnifer Goodwin,Drew Barrymore,Jennifer Connelly,Jennifer Aniston,Justin Long,Bradley Cooper,N/A,N/A,N/A,N/A,N/A,N/A,Abby Kohn,Marc Silverstein,Cliff Eidelman,N/A
He-Man and She-Ra in The Secret of the Sword,N/A,N/A,"$17,522,900",Atlantic,"March 22, 1985",Animation,3 hrs. 15 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Head Above Water,Jim Wilson,N/A,"$57,000",Fine Line,"June 25, 1997",Unknown,1 hrs. 32 min.,PG-13,N/A,N/A,Cameron Diaz,N/A,N/A,N/A,N/A,N/A,Jim Wilson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Christopher Young,N/A
Head Games,N/A,N/A,"$14,200",Variance Films,"September 21, 2012",Documentary,1 hrs. 31 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Head in the Clouds,N/A,N/A,"$520,800",Sony Classics,"September 17, 2004",Romance,2 hrs. 12 min.,R,N/A,"$3,510,605",Penelope Cruz,Charlize Theron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Head of State,Chris Rock,N/A,"$51,339,500",DreamWorks,"March 28, 2003",Comedy,1 hrs. 35 min.,PG-13,$35.2 million,"$38,620,484",Chris Rock,Bernie Mac,Tracy Morgan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Marcus Miller,N/A
Head Office,N/A,N/A,"$7,428,000",TriStar,"January 3, 1986",Unknown,1 hrs. 30 min.,PG-13,N/A,N/A,Danny DeVito,N/A,N/A,N/A,N/A,N/A,Jon Peters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,James Newton Howard,N/A
Head On,N/A,N/A,"$606,400",Strand,"August 13, 1999",Unknown,1 hrs. 44 min.,Unrated,N/A,"$379,384",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Head Over Heels,Mark S. Waters,N/A,"$14,955,200",Universal,"February 2, 2001",Romantic Comedy,1 hrs. 27 min.,PG-13,$14 million,"$13,127,022","Freddie Prinze, Jr.",Timothy Olyphant*,N/A,N/A,N/A,N/A,Robert Simonds,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Randy Edelman,N/A
Head-On (Gegen die Wand),N/A,N/A,"$551,500",Strand,"January 21, 2005",Foreign,1 hrs. 58 min.,R,N/A,"$11,030,861",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Headhunters,Morten Tyldum,N/A,"$1,200,000",Magnolia,"April 27, 2012",Thriller,1 hrs. 40 min.,R,N/A,"$15,699,707",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heading South,N/A,N/A,"$1,113,800",Shadow Dist.,"February 3, 2006",Foreign,1 hrs. 47 min.,Unrated,N/A,"$3,294,052",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Headless Woman,N/A,N/A,"$108,500",Strand,"August 19, 2009",Foreign,1 hrs. 27 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pedro Almodovar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Headshot,N/A,N/A,"$1,400",Kino Lorber,"September 28, 2012",Foreign,1 hrs. 45 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Headspace,N/A,N/A,"$2,000",Freestyle Releasing,"February 17, 2006",Horror,1 hrs. 29 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hear My Song,Peter Chelsom,N/A,"$8,439,900",Miramax,"December 27, 1991",Music Drama,1 hrs. 44 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Simon Fields,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hear No Evil,N/A,N/A,"$11,139,600",Fox,"March 26, 1993",Thriller,1 hrs. 37 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Graeme Revell,N/A
Heart and Souls,Ron Underwood,N/A,"$32,538,000",Universal,"August 13, 1993",Fantasy Comedy,1 hrs. 44 min.,PG-13,N/A,N/A,"Robert Downey, Jr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Marc Shaiman,N/A
Heart Beat,N/A,N/A,"$2,879,900",Warner Bros.,"January 18, 1980",Unknown,2 hrs. 9 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Michael Shamberg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heart Condition,N/A,N/A,"$7,937,600",New Line,"February 2, 1990",Fantasy Comedy,1 hrs. 40 min.,R,N/A,N/A,Denzel Washington,N/A,N/A,N/A,N/A,N/A,Bernie Goldmann,Steve Tisch,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Heart Is Deceitful Above All Things,N/A,N/A,"$36,000",Palm,"March 10, 2006",Drama,1 hrs. 37 min.,R,N/A,"$211,355",Ben Foster,Jeremy Renner,Winona Ryder*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heart Like a Wheel,N/A,N/A,"$701,900",Fox,"April 1, 1983",Unknown,1 hrs. 53 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Charles Roven,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heart of Dixie,N/A,N/A,"$2,244,400",Orion Pictures,"August 25, 1989",Unknown,1 hrs. 35 min.,PG,N/A,N/A,Virginia Madsen,N/A,N/A,N/A,N/A,N/A,Steve Tisch,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Heart of Me,N/A,N/A,"$264,000",ThinkFilm,"June 13, 2003",Unknown,1 hrs. 36 min.,R,N/A,"$196,067",Paul Bettany,Helena Bonham Carter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Heart of the Game,N/A,N/A,"$552,100",Miramax,"June 9, 2006",Documentary,1 hrs. 37 min.,PG-13,N/A,"$446,446",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Heart Specialist,N/A,N/A,"$1,118,200",Freestyle Releasing,"January 14, 2011",Romantic Comedy,1 hrs. 39 min.,R,N/A,N/A,Zoe Saldana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heartbeat Detector,N/A,N/A,"$6,000",New Yorker,"March 14, 2008",Foreign,2 hrs. 23 min.,Unrated,N/A,"$692,575",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heartbeats,N/A,N/A,"$70,500",IFC,"February 25, 2011",Foreign,1 hrs. 40 min.,Unrated,N/A,"$588,383",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heartbeeps,N/A,N/A,"$6,293,600",Universal,"December 18, 1981",Unknown,1 hrs. 19 min.,PG,N/A,N/A,Randy Quaid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,John Williams,N/A
Heartbreak Hospital,N/A,N/A,"$2,100",7th Art,"September 6, 2002",Unknown,1 hrs. 31 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ram Bergman,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heartbreak Hotel,Chris Columbus,N/A,"$10,884,800",Buena Vista,"September 30, 1988",Unknown,1 hrs. 37 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lynda Obst,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
